GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0023479	3098.55704032873	-1.43344793547148	0.115450180954974	-12.4161601446994	2.1356838988533e-35	1.02643341160999e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.4309170761896	0.196412549680497	-12.3765873420204	3.49907346484593e-35	1.59318339707274e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.9365045275981	0.15711239226371	12.3256001623839	6.59506321977575e-35	2.852694595714e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11684352842828	0.091208486662741	-12.2449518602145	1.78783133827202e-34	7.36501376542442e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82613315140218	0.153884797181244	11.8668847400915	1.7589621080781e-32	6.91671872590164e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61734618604499	0.137034410352893	-11.8024821786001	3.78965370298735e-32	1.42540409498015e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623017297366	0.0969027092840216	-11.6222774501865	3.1755642533133e-31	1.14465859814222e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113655453974	0.170096247063532	-11.5295698076586	9.36102996190967e-31	3.23929080801922e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60560460469667	0.226819622920077	-11.4875625448632	1.52350033403646e-30	5.06915438067286e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55128405046541	0.224463183985447	-11.3661581608449	6.16414359616199e-30	1.97503726853324e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18389374390619	0.105149796827707	11.2591158482793	2.08843460325868e-29	6.45251705456815e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80911695721505	0.160806335675124	-11.2502840738191	2.30847366375204e-29	6.88641574659273e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88852456873656	0.168968370824638	11.1767933816237	5.29694756595428e-29	1.52746311310235e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0034010	525.879538634805	-1.33216262578889	0.122718232682548	-10.8554580413081	1.87862555569608e-27	5.07874677572713e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08366060779576	0.0999864941718634	-10.8380698490447	2.27214190105802e-27	5.95645442001603e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11827059736427	0.10519084133414	-10.6308741633891	2.14096196937757e-26	5.44748882267217e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09110023660023	0.196838886377251	10.6234102167828	2.31930157529265e-26	5.73265083653048e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24691013733648	0.213566482400019	10.520893129325	6.92143441785574e-26	1.66325914302417e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03747160377076	0.0990577462197005	10.4734020645871	1.14454162698013e-25	2.67606205810948e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34216708733463	0.128414941381588	10.4517984659305	1.43772611578394e-25	3.27309700727549e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65963297477601	0.159894461242829	-10.3795526241247	3.07211411942622e-25	6.81457929414262e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0261596	16579.9400664631	-1.04359181626419	0.101500042882898	-10.2816884271487	8.5221391261965e-25	1.79817135562746e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36812627421106	0.133482935686866	10.2494469961352	1.19022534807608e-24	2.45158083004909e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12228559247294	0.211628008331956	10.0283776670239	1.14380450589664e-23	2.3011750652353e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83162439607141	0.182685835406716	-10.0260887331174	1.170622440326e-23	2.30160334801368e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.2422503255878	0.124355835061235	-9.98948159510235	1.69465673935492e-23	3.2578834338132e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14429138724376	0.119492368874773	-9.57627167340671	1.00611417878406e-21	1.89215081753498e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0038149	1018.14231283321	1.00594332464907	0.105242768975684	9.55831297902749	1.19691785285133e-21	2.15719507187852e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.87424079584695	0.199346046243823	9.40194616929868	5.35630167124392e-21	9.45660525672065e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29014735263116	0.137625839492996	-9.37431050291115	6.96293667128921e-21	1.20472730286646e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81572338655448	0.194385146331266	9.34085459112276	9.55596627065894e-21	1.62095420014648e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25241339333027	0.134178700866843	-9.33392099669483	1.02025102250491e-20	1.69734453763268e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54827053416178	0.166417354374922	-9.30354012643228	1.35845624747741e-20	2.21735943338246e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0261584	177.84495299026	-1.70334123397447	0.185446714560511	-9.18507096775052	4.11256045839847e-20	6.46868373192822e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20992591299501	0.13193398070355	9.17069208814114	4.69991768161987e-20	7.26053354708812e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.3085397093546	0.142853579345819	-9.16000645798936	5.189421169143e-20	7.87608465513265e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78552526200758	0.195038900311478	-9.15471354256041	5.45022156584886e-20	8.1292873734756e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0033367	15104.0088463228	1.25379694401129	0.141213855511993	8.87871051651021	6.76398858159862e-19	9.4379460031306e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66083889783073	0.188200243822478	-8.82484987318792	1.09606744870262e-18	1.50509198392481e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64818798407227	0.188242582535737	-8.75565964868428	2.02913181671925e-18	2.74281552288097e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01807431058203	0.117380278174051	-8.67329952202396	4.19775872760085e-18	5.58689396191922e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20371907958714	0.139218419927376	-8.64626304633443	5.3213370053826e-18	6.97498279296437e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0265276	151.2594530435	1.53518830952334	0.177874851009191	8.6307215483993	6.09661394206145e-18	7.75614811952553e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0063498	325.89377303059	-1.22028683983697	0.145021473832754	-8.41452515676587	3.94489612190126e-17	4.6749721028175e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07963950081759	0.129077208489214	-8.3642922980304	6.04768219945124e-17	7.07006739289901e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51539741339932	0.181500693216192	-8.34926515456484	6.86889773237558e-17	7.92304457103748e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.0774590753881	0.129092456121902	8.34641394049128	7.0366873355801e-17	8.00978712369782e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.1054256983278	0.13280641449518	8.32358664699828	8.53408406199254e-17	9.58809885977889e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55653951095101	0.188558004687234	8.25496384273309	1.51948233611442e-16	1.68526175509305e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80878654062579	0.219761580450668	-8.23067679489965	1.86158629311008e-16	2.03855481287282e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0039479	172.821357539012	1.29482305466306	0.158363452154417	8.17627449419644	2.92754649581491e-16	3.12669194262899e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0263232	301.536196788606	1.16270197858533	0.143178489626629	8.12064704424069	4.63704772036821e-16	4.83314455769944e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43566774181318	0.177593100558503	8.08402881248329	6.2661518067797e-16	6.4533903905299e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0034885	161.413779412121	1.3389394128822	0.169481084674519	7.90022919344405	2.78391052095338e-15	2.76823102491583e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0034389	114.90357820749	-1.53727223154193	0.196525064253517	-7.82227059627802	5.18789397283623e-15	5.04274952348385e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963558503249	0.138180260268771	7.74087111250166	9.87379531764424e-15	9.49091147699337e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0023549	188.177773216398	-1.27281783823161	0.175005065316387	-7.27303427435383	3.51501090260207e-13	3.07155144630409e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0261284	51.4229233597556	1.55016451806204	0.217832232143456	7.11632297391674	1.10844383682872e-12	8.87884040037522e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0052625	150.210306514425	1.28952134376129	0.181678116369552	7.09783527884154	1.26726094540264e-12	9.96643130788927e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19951651967146	0.169264901307242	7.08662286396961	1.37424213571142e-12	1.07104222667022e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0050463	43.1612480103141	1.58309828244695	0.22479974594333	7.04226010489368	1.89146310936579e-12	1.42287368340204e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0000567	253.932072621603	-1.08652036165116	0.15509653198345	-7.00544588429032	2.46200483595729e-12	1.78981544839214e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40492230970429	0.200910388990713	6.99278079526903	2.69490409767347e-12	1.9428012790811e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384613928634	0.218684451577944	6.96824181276192	3.20926279176589e-12	2.29449028194766e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0043364	1143.9544715076	-1.00806960831873	0.146669315469037	-6.87307774700525	6.28312990209535e-12	4.31391720500214e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0037646	40.5200264626335	-1.55336139503371	0.229798319964662	-6.75967254796547	1.38303960332882e-11	9.06414818818004e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14240952180328	0.169038044421882	6.75829826185208	1.39621881534285e-11	9.08172103122631e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0031703	88.7187395957919	-1.38801391835012	0.205893685338571	-6.7414108211608	1.56855999818442e-11	9.96730069197105e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0033065	29.7436358354011	1.55531041334039	0.233145784165089	6.67097807026647	2.5410419424573e-11	1.5372415275663e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0024984	117.679403305754	1.16848678234906	0.176703520221168	6.61269668474373	3.77381200677322e-11	2.2209012020813e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0031547	266.309775541423	-1.17444636146467	0.181232159467575	-6.48034192670308	9.15149871963325e-11	4.9481009639717e-09	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0267635	176.565094178472	1.04538476711433	0.164594201722869	6.35128550199154	2.13522994902207e-10	1.09301031295799e-08	chr3L	20404269	20407558	+	ncRNA	lncRNA:CR45973
FBgn0033775	46.2344311814749	1.3855180651939	0.218762127098264	6.3334457548566	2.3974562156331e-10	1.21288852172175e-08	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0033724	152.113964994451	1.14790616377271	0.184495546648045	6.22186380445555	4.91283424245555e-10	2.33521588085071e-08	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0035344	76.8633213284638	-1.23392590458541	0.19941745413166	-6.18765247986138	6.10667682206551e-10	2.84026135417681e-08	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0267252	106.908419399831	-1.13170550005245	0.183541014696563	-6.16595425236931	7.00593389956205e-10	3.223847561974e-08	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0032638	127.181816828965	-1.15001461036653	0.187385229793764	-6.13716786340225	8.40056078408681e-10	3.76545343746813e-08	chr2L	17454262	17455923	-	protein_coding	SPH93
FBgn0031258	144.272042695933	-1.08185091443532	0.178535372328903	-6.05958864242488	1.36470104582492e-09	5.93267776252834e-08	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0033782	157.571372881534	-1.09183419850912	0.181459603430593	-6.0169546161647	1.77728882547279e-09	7.61154734117087e-08	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0039640	72.4661209150608	-1.24106483203755	0.208144703048909	-5.96250980139487	2.4839274700315e-09	1.03309887227127e-07	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0035727	67.8155455971664	1.20862678116592	0.203307310755472	5.94482695518802	2.76749056820225e-09	1.12931891063763e-07	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0030598	37.7032368701724	1.33787785376472	0.226792870794352	5.8991177680266	3.65450331553159e-09	1.45869384347937e-07	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0263041	109.590839178953	-1.20135517736992	0.207593733404144	-5.78704933752081	7.16335442931001e-09	2.74204332601597e-07	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0020248	35.9047135379435	1.26566552183953	0.225997956767058	5.60034055150367	2.13931106315226e-08	7.55395102340009e-07	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0013680	77.348280515649	1.27422365717705	0.229629769703756	5.54903512214865	2.87250473855529e-08	1.00201768117911e-06	chrM	239	1263	+	protein_coding	mt:ND2
FBgn0000079	158.98640027863	-1.0004294539613	0.181643484743863	-5.50765393744796	3.63647380121166e-08	1.25836539417128e-06	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0013688	23.9087109850574	1.24428187022906	0.229178236818086	5.42931950042327	5.65693330170721e-08	1.92669803122319e-06	chrM	14130	14916	-	rRNA	mt:srRNA
FBgn0034391	66.0378425327785	1.11602046778353	0.207833070613165	5.36979251902	7.88272794579264e-08	2.61277699076828e-06	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0003447	37.2978097085874	1.2175422347012	0.227595540009443	5.34958740690033	8.81549767791523e-08	2.91079658059712e-06	chrX	7964023	7986601	+	protein_coding	sn
FBgn0039593	42.7449357068055	1.18707602922275	0.22479941312525	5.28060110442258	1.28760747271516e-07	4.17194466159509e-06	chr3R	28670703	28672021	+	protein_coding	Sid
FBgn0031548	53.8024794609611	-1.16786901635876	0.222731369012392	-5.24339710898011	1.57646736651334e-07	5.05111821766923e-06	chr2L	3525130	3527588	+	protein_coding	CG8852
FBgn0025836	86.1832446436104	-1.03220513861734	0.202217412498482	-5.10443253063129	3.31788619680089e-07	1.00010569646427e-05	chrX	127448	140340	+	protein_coding	RhoGAP1A
FBgn0039485	60.1810752444052	1.05307234452913	0.207381800530909	5.0779400209334	3.81549096384596e-07	1.13428908344438e-05	chr3R	27101229	27102917	+	protein_coding	CG17189
FBgn0265512	67.4374958700712	-1.15486138570967	0.229555536105639	-5.03085835045258	4.88288813700567e-07	1.4127714138206e-05	chr2R	10155915	10158931	-	protein_coding	mlt
FBgn0037223	24.4741471885672	-1.08488785979074	0.234310590144551	-4.63012729864856	3.65440996943706e-06	9.40901804928572e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0037678	34.3091898550503	1.01398504398498	0.231518250648564	4.37971970306639	1.18832060415518e-05	0.000271961945675832	chr3R	9330884	9331885	-	protein_coding	CG16749
